,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
841,Fransérgio,Bordeaux,MF,1258.0,3.9299999999999997,1.93,1.07,0.0,2.71,0.86,0.0,0.07,1.0,0.14,9.36,1.14,1.21,0.0,0.5,2.21,38.4,8.79,2.43,2.93,0.29,30.1,0.14,0.0,0.43,0
842,Fraser Forster,Southampton,GK,1710.0,0.0,0.05,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.05,0.0,31.4,21.0,0.0,0.42,0.0,13.9,0.0,0.0,0.0,0
843,Fraser Hornby,Reims,FWMF,350.0,9.49,0.77,3.08,1.54,2.05,1.79,0.0,0.0,1.54,0.51,3.59,1.28,0.51,0.0,0.26,1.79,22.6,2.05,1.03,0.77,0.51,25.4,0.26,0.26,0.77,0
844,Fred,Manchester Utd,MF,2028.0,1.33,2.93,0.76,0.0,3.29,1.56,0.18,0.18,0.67,0.4,11.2,1.29,2.18,0.0,0.22,1.91,58.7,8.22,4.8,5.2,0.58,48.5,0.09,0.04,1.16,0
845,Freddie Veseli,Salernitana,DF,596.0,1.51,1.06,0.0,0.0,1.36,0.15,0.0,0.0,0.15,0.0,3.94,0.0,1.67,0.15,0.45,0.91,30.8,5.91,1.21,1.52,0.3,21.2,0.61,0.3,0.0,0
846,Freddie Woodman,Newcastle Utd,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,30.8,20.0,0.0,1.5,0.0,12.3,0.0,0.0,0.0,0
847,Frederic Guilbert,Strasbourg,DF,2516.0,2.5700000000000003,2.96,0.86,0.07,3.93,0.93,0.0,0.14,0.86,0.18,7.04,1.25,2.46,0.0,0.14,0.96,54.7,14.4,4.25,2.54,1.61,35.1,4.36,0.86,1.61,0
848,Frederik Rønnow,Union Berlin,GK,630.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.14,0.0,36.4,22.6,0.0,0.57,0.0,20.6,0.0,0.0,0.0,0
849,Frederik Winther,Augsburg,DF,328.0,7.5,2.22,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,10.6,0.0,2.5,0.0,0.28,0.28,45.8,13.9,3.06,5.0,0.0,32.5,0.0,0.0,0.0,0
850,Fredrik André Bjørkan,Hertha BSC,DF,353.0,2.05,2.82,0.51,0.0,3.33,0.77,0.0,0.0,0.0,0.0,9.23,2.05,1.54,0.0,0.26,0.77,42.1,3.33,2.31,1.03,1.03,27.7,1.03,0.51,0.51,0
851,Fredrik Jensen,Augsburg,MFFW,418.0,6.09,1.3,3.48,0.0,3.7,0.43,0.0,0.22,1.3,0.22,6.96,0.65,0.87,0.0,0.0,0.65,24.6,5.0,2.17,1.74,1.52,19.1,2.61,0.65,1.3,0
852,Frenkie de Jong,Barcelona,MF,2476.0,2.0,1.27,2.55,0.22,7.24,1.89,0.11,0.11,0.62,0.25,8.11,1.2,1.13,0.04,0.25,0.98,61.1,8.25,5.45,5.6,1.31,54.7,0.8,0.07,1.45,0
